    21300000: atkA_00
    21300144: atkBroadSwordA_12
    21300146: atkBroadSwordA_13
    21300148: atkBroadSwordA_14
    21300150: atkBroadSwordB_00
    21300152: atkBroadSwordB_01
    21300154: atkBroadSwordB_02
    21300156: atkBroadSwordB_03
    21300158: atkBroadSwordB_04
    21300160: atkBroadSwordB_05
    21300162: atkBroadSwordB_06
    21300164: atkBroadSwordB_07
    21300166: atkBroadSwordB_08
    21300168: atkBroadSwordB_09
    21300170: atkBroadSwordB_10
    21300172: atkBroadSwordB_11
    21300174: atkBroadSwordB_12
    21300176: atkBroadSwordB_13
    21300178: atkBroadSwordB_14
    21300180: atkBroadSwordB_15
    21300182: atkBroadSwordC_00
    21300184: atkBroadSwordC_01
    21300186: atkBroadSwordC_02
    21300188: atkBroadSwordC_03
    21300190: atkBroadSwordC_04
    21300192: atkBroadSwordC_05
    21300194: atkBroadSwordC_06
    21300196: atkBroadSwordC_07
    21300198: atkBroadSwordC_08
    21300200: atkBroadSwordC_09
    21300202: atkBroadSwordC_10
    21300204: atkBroadSwordC_11
    21300206: atkBroadSwordC_12
    21300208: atkBroadSwordC_13
    21300210: atkBroadSwordC_14
    21300212: atkBroadSwordC_15
    21300214: atkBroadSwordC_16
    21300216: atkBroadSwordC_17
    21300218: atkBroadSwordC_18
    21300220: atkBroadSwordC_19
    21300222: atkBroadSwordC_20
    21300224: atkBroadSwordC_21
    21300226: atkBroadSwordC_22
    21300228: atkBroadSwordC_23
    21300230: atkBroadSwordC_24
    21300232: atkBroadSwordC_25
    21300234: atkBroadSwordC_26
    21300236: atkBroadSwordC_27
    21300238: atkC_00
    21300240: atkC_01
    21300242: atkC_02
    21300244: atkC_03
    21300246: atkC_04
    21300248: atkC_05
    21300250: atkC_06
    21300252: atkC_07
    21300254: atkC_08
    21300256: atkC_09
    21300258: atkC_10
    21300260: atkC_11
    21300262: atkFireballA_00
    21300264: atkFireballA_01
    21300266: atkFireballA_02
    21300268: atkFireballA_03
    21300270: atkFireballA_04
    21300272: atkFireballA_05
    21300274: atkFireballA_06
    21300276: atkFireballA_07
    21300278: atkFireballA_08
    21300280: atkFireballA_09
    21300282: atkFireballA_10
    21300284: atkFireballA_11
    21300286: atkFireballA_12
    21300288: atkFireballA_13
    21300290: atkFireballA_14
    21300292: atkFireballA_15
    21300294: atkFireballA_16
    21300296: atkFireballA_17
    21300298: atkFireballA_18
    21300300: atkFireballA_19
    21300302: atkFireballA_20
    21300304: atkFireballB_00
    21300306: atkFireballB_01
    21300308: atkFireballB_02
    21300310: atkFireballB_03
    21300312: atkFireballB_04
    21300314: atkFireballB_05
    21300316: atkFireballB_06
    21300318: atkFireballB_07
    21300320: atkFireballB_08
    21300322: atkFireballB_09
    21300324: atkFireballB_10
    21300326: atkFireballB_11
    21300328: atkFireballB_12
    21300330: atkFireballB_13
    21300332: atkFireballB_14
    21300334: atkFireballB_15
    21300336: atkFireballC_00
    21300338: atkFireballC_01
    21300340: atkFireballC_02
    21300342: atkFireballC_03
    21300344: atkFireballC_04
    21300346: atkFireballC_05
    21300348: atkFireballC_06
    21300350: atkFireballC_07
    21300352: atkFireballC_08
    21300354: atkFireballC_09
    21300356: atkFireballC_10
    21300358: atkFireballC_11
    21300360: atkFireballC_12
    21300362: atkFireballC_13
    21300364: atkFireballC_14
    21300366: atkFireballC_15
    21300368: atkFireballC_16
    21300370: atkFireballC_17
    21300372: atkFireballC_18
    21300374: atkFireballC_19
    21300376: atkFireballC_20
    21300378: atkFireballC_21
    21300380: atkFireballC_22
    21300382: atkFireballC_23
    21300384: atkFireballC_24
    21300386: atkFireballC_25
    21300388: atkFireballC_26
    21300390: atkFireballC_27
    21300392: atkFireballC_28
    21300394: atkFireballC_29
    21300396: atkFireballC_30
    21300398: atkFireballC_31
    21300400: atkFireballC_32
    21300402: atkFireballC_33
    21300404: atkKnifeA_00
    21300406: atkKnifeA_01
    21300408: atkKnifeA_02
    21300410: atkKnifeA_03
    21300412: atkKnifeA_04
    21300414: atkKnifeA_05
    21300416: atkKnifeA_06
    21300418: atkKnifeA_07
    21300420: atkKnifeA_08
    21300422: atkKnifeA_09
    21300424: atkKnifeA_10
    21300426: atkKnifeB_00
    21300428: atkKnifeB_01
    21300430: atkKnifeB_02
    21300432: atkKnifeB_03
    21300434: atkKnifeB_04
    21300436: atkKnifeB_05
    21300438: atkKnifeB_06
    21300440: atkKnifeB_07
    21300442: atkKnifeB_08
    21300444: atkKnifeB_09
    21300446: atkKnifeB_10
    21300448: atkRapier_00
    21300450: atkRapier_01
    21300452: atkRapier_02
    21300454: atkRapier_03
    21300456: atkRapier_04
    21300458: atkRapier_05
    21300460: atkRapier_06
    21300462: atkRapier_07
    21300464: atkRapier_08
    21300466: atkRapier_09
    21300468: atkRapier_10
    21300470: atkRapier_11
    21300472: atkRapier_12
    21300474: atkRapier_13
    21300476: atkRapier_14
    21300478: atkRapier_15
    21300480: atkRapier_16
    21300482: atkRapier_17
    21300484: atkRapier_18
    21300486: atkRapier_19
    21300488: atkRapier_20
    21300490: atkRapier_21
    21300492: atkRapier_22
    21300494: atkRapier_23
    21300496: atkRapier_24
    21300498: atkRapier_25
    21300500: atkRapier_26
    21300502: atkRapier_27
    21300504: atkRapier_28
    21300506: atkRapier_29
    21300508: atkRapier_30
    21300510: atkRapier_31
    21300512: atkRapier_32
    21300514: atkRapier_33
    21300516: atkRapier_34
    21300518: atkRapier_35
    21300520: atkRapier_36
    21300522: atkRapier_37
    21300524: atkRapier_38
    21300526: atkRapier_39
    21300528: atkRapier_40
    21300530: atkRapier_41
    21300532: atkRapier_42
    21300534: atkRapier_43
    21300536: atkRapierA_00
    21300538: atkRapierA_01
    21300540: atkRapierA_02
    21300542: atkRapierA_03
    21300544: atkRapierA_04
    21300546: atkRapierA_05
    21300548: atkRapierA_06
    21300550: atkRapierA_07
